[08:50:37] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:50:57] [BF] BERAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BICOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BIDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BIGTIMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BIOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BLURUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BMTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BNBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BNTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BOMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:57] [BF] BRETTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:58] [BF] BROCCOLI714USDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:58] [BF] BROCCOLIF3BUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:58] [BF] BRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:58] [BF] BSVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:58] [BF] BSWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] BTCDOMUSDT 5m fetched=0 kept=1 inserted=1 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] BTCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] BULLAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] BUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] C98USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CAKEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CARVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CATIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CELOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CELRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CETUSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CFXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CGPTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CHESSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CHILLGUYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CHRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CHZUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] CKBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] COMPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] COOKIEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] COSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] COTIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:50:59] [BF] COWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CROSSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CRVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CTKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
[08:51:09] [BF] CTSIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0 delay=0s
