symbol,timeframe,rows,first_ts,last_ts,first_iso,last_iso,expected,coverage,fresh,ok,status
AIOUSDT,5m,2373,1755084600000,1755267300000,,,105120,0.0226,1,0,LOW_COVERAGE
AIUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
AIUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
AIUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
AIUSDT,5m,106314,1723725300000,1755267300000,,,105120,1.0114,1,1,OK
AIXBTUSDT,15m,23452,1734719400000,1755267300000,,,35040,0.6693,1,0,LOW_COVERAGE
AIXBTUSDT,1h,6065,1734717600000,1755266400000,,,8760,0.6924,1,0,LOW_COVERAGE
AIXBTUSDT,30m,11827,1734719400000,1755266400000,,,17520,0.6751,1,0,LOW_COVERAGE
AIXBTUSDT,5m,70352,1734719400000,1755267300000,,,105120,0.6693,1,0,LOW_COVERAGE
AKTUSDT,15m,26552,1731929400000,1755267300000,,,35040,0.7578,1,0,LOW_COVERAGE
AKTUSDT,1h,8915,1731927600000,1755266400000,,,8760,1.0177,1,1,OK
AKTUSDT,30m,17046,1731929400000,1755266400000,,,17520,0.9729,1,1,OK
AKTUSDT,5m,79651,1731929400000,1755267300000,,,105120,0.7577,1,0,LOW_COVERAGE
ALCHUSDT,15m,21751,1736250300000,1755267300000,,,35040,0.6207,1,0,LOW_COVERAGE
ALCHUSDT,1h,5640,1736247600000,1755266400000,,,8760,0.6438,1,0,LOW_COVERAGE
ALCHUSDT,30m,10977,1736249400000,1755266400000,,,17520,0.6265,1,0,LOW_COVERAGE
ALCHUSDT,5m,65249,1736250300000,1755267300000,,,105120,0.6207,1,0,LOW_COVERAGE
ALGOUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ALGOUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ALGOUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
ALGOUSDT,5m,106313,1723725600000,1755267300000,,,105120,1.0113,1,1,OK
ALICEUSDT,15m,35438,1723725900000,1755267300000,,,35040,1.0114,1,1,OK
ALICEUSDT,1h,8858,1723726800000,1755259200000,,,8760,1.0112,1,1,OK
ALICEUSDT,30m,17718,1723726800000,1755266400000,,,17520,1.0113,1,1,OK
