表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
REZUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,11141
RESOLVUSDT_2h,2025-06-10,2025-08-15,67,365,18.4,❌,848
RIFUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,10070
RLCUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,9070
RONINUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,8870
ROSEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35876
REZUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RESOLVUSDT_4h,2025-06-10,2025-08-15,67,365,18.4,❌,699
RIFUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RLCUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RONINUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
ROSEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,18243
REZUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3584
RESOLVUSDT_1d,2025-06-10,2025-08-15,67,365,18.4,❌,136
RIFUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,3583
RLCUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,2493
RONINUSDT_4h,2024-08-15,2025-08-15,366,365,100.3,✅,2219
ROSEUSDT_1h,2024-08-15,2025-08-15,366,365,100.3,✅,10274
REZUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
RIFUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
RLCUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,731
RONINUSDT_1d,2024-08-15,2025-08-15,366,365,100.3,✅,370
ROSEUSDT_2h,2024-08-15,2025-08-15,366,365,100.3,✅,4436
RPLUSDT_5m,2024-09-09,2025-08-15,341,365,93.4,❌,101259
RSRUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,107225
