表名,起始日期,结束日期,覆盖天数,目标天数,达标率(%),是否达标,总行数
BTCUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105718
BTCUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
BTCUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ETHUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105560
ETHUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ETHUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
UNIUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
UNIUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
UNIUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ETHUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
UNIUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
BTCUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
ETHUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
BTCUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
UNIUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ETHUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4397
BTCUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
UNIUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ETHUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
UNIUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
BTCUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
A2ZUSDT_5m,2025-07-30,2025-08-15,17,365,4.7,❌,5945
A2ZUSDT_15m,2025-07-30,2025-08-15,17,365,4.7,❌,1982
AAVEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
A2ZUSDT_30m,2025-07-30,2025-08-15,17,365,4.7,❌,1092
A2ZUSDT_1h,2025-07-30,2025-08-15,17,365,4.7,❌,696
A2ZUSDT_2h,2025-07-30,2025-08-15,17,365,4.7,❌,249
A2ZUSDT_4h,2025-07-30,2025-08-15,17,365,4.7,❌,207
A2ZUSDT_1d,2025-07-30,2025-08-14,16,365,4.4,❌,19
ACEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ACHUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
AAVEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
ACEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
ACHUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35238
ACTUSDT_5m,2024-11-11,2025-08-15,278,365,76.2,❌,81062
ACTUSDT_15m,2024-11-11,2025-08-15,278,365,76.2,❌,27021
ACTUSDT_30m,2024-11-11,2025-08-15,278,365,76.2,❌,13612
ACTUSDT_1h,2024-11-11,2025-08-15,278,365,76.2,❌,6956
ACTUSDT_2h,2024-11-11,2025-08-15,278,365,76.2,❌,3379
ACTUSDT_4h,2024-11-11,2025-08-15,278,365,76.2,❌,1674
ACTUSDT_1d,2024-11-11,2025-08-14,277,365,75.9,❌,293
AAVEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ACXUSDT_5m,2024-12-06,2025-08-15,252,365,69.0,❌,100154
ADAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105718
ACXUSDT_15m,2024-12-06,2025-08-15,252,365,69.0,❌,32852
ACXUSDT_30m,2024-12-06,2025-08-15,252,365,69.0,❌,16027
ACXUSDT_1h,2024-12-06,2025-08-15,252,365,69.0,❌,8418
ACXUSDT_2h,2024-12-06,2025-08-15,253,365,69.3,❌,3078
ACXUSDT_4h,2024-12-06,2025-08-15,253,365,69.3,❌,1524
ACEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ACXUSDT_1d,2024-12-06,2025-08-14,252,365,69.0,❌,365
AERGOUSDT_5m,2025-04-16,2025-08-15,122,365,33.4,❌,62515
AERGOUSDT_15m,2025-04-16,2025-08-15,122,365,33.4,❌,20306
AERGOUSDT_30m,2025-04-16,2025-08-15,122,365,33.4,❌,9753
AERGOUSDT_1h,2025-04-16,2025-08-15,122,365,33.4,❌,5276
AERGOUSDT_2h,2025-04-16,2025-08-15,122,365,33.4,❌,1508
AERGOUSDT_4h,2025-04-16,2025-08-15,122,365,33.4,❌,2120
AERGOUSDT_1d,2025-04-16,2025-08-14,121,365,33.2,❌,365
AEROUSDT_5m,2024-12-04,2025-08-15,254,365,69.6,❌,100760
AEROUSDT_15m,2024-12-04,2025-08-15,254,365,69.6,❌,33047
ACHUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
AEROUSDT_30m,2024-12-04,2025-08-15,255,365,69.9,❌,16125
AAVEUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AEROUSDT_1h,2024-12-04,2025-08-15,255,365,69.9,❌,8467
AEROUSDT_2h,2024-12-04,2025-08-15,255,365,69.9,❌,3102
AEROUSDT_4h,2024-12-04,2025-08-15,255,365,69.9,❌,1536
AEROUSDT_1d,2024-12-04,2025-08-14,254,365,69.6,❌,365
AEVOUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ACEUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AAVEUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AGLDUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
AAVEUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AAVEUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ACHUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ACEUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AGTUSDT_5m,2025-05-20,2025-08-15,88,365,24.1,❌,26364
AGTUSDT_15m,2025-05-20,2025-08-15,88,365,24.1,❌,8788
AGTUSDT_30m,2025-05-20,2025-08-15,88,365,24.1,❌,4495
AGTUSDT_1h,2025-05-20,2025-08-15,88,365,24.1,❌,2398
AGTUSDT_2h,2025-05-20,2025-08-15,88,365,24.1,❌,1100
ACEUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AGTUSDT_4h,2025-05-20,2025-08-15,88,365,24.1,❌,825
AGTUSDT_1d,2025-05-20,2025-08-13,86,365,23.6,❌,89
AI16ZUSDT_5m,2025-01-02,2025-08-15,226,365,61.9,❌,66069
ACEUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AI16ZUSDT_15m,2025-01-02,2025-08-15,226,365,61.9,❌,22023
ACHUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AI16ZUSDT_30m,2025-01-02,2025-08-15,226,365,61.9,❌,11113
AINUSDT_5m,2025-07-10,2025-08-15,37,365,10.1,❌,11673
AI16ZUSDT_1h,2025-01-02,2025-08-15,226,365,61.9,❌,5707
AINUSDT_15m,2025-07-10,2025-08-15,37,365,10.1,❌,3891
AI16ZUSDT_2h,2025-01-02,2025-08-15,226,365,61.9,❌,2755
AINUSDT_30m,2025-07-10,2025-08-15,37,365,10.1,❌,2047
AI16ZUSDT_4h,2025-01-02,2025-08-15,226,365,61.9,❌,1362
AINUSDT_1h,2025-07-10,2025-08-15,37,365,10.1,❌,1174
AINUSDT_2h,2025-07-10,2025-08-15,37,365,10.1,❌,488
AINUSDT_4h,2025-07-10,2025-08-15,37,365,10.1,❌,477
ACHUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AI16ZUSDT_1d,2025-01-02,2025-08-14,225,365,61.6,❌,228
AINUSDT_1d,2025-07-10,2025-08-14,36,365,9.9,❌,44
AIOTUSDT_5m,2025-04-30,2025-08-15,108,365,29.6,❌,32100
AIOUSDT_5m,2025-08-13,2025-08-15,3,365,0.8,❌,1779
ACHUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AIOTUSDT_15m,2025-04-30,2025-08-15,108,365,29.6,❌,10701
AIOUSDT_15m,2025-08-13,2025-08-15,3,365,0.8,❌,593
AIOUSDT_30m,2025-08-13,2025-08-15,3,365,0.8,❌,413
AIOTUSDT_30m,2025-04-30,2025-08-15,108,365,29.6,❌,5350
AIUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
AIOTUSDT_1h,2025-04-30,2025-08-15,108,365,29.6,❌,2676
AIOUSDT_1h,2025-08-13,2025-08-15,3,365,0.8,❌,357
AIOTUSDT_2h,2025-04-30,2025-08-15,108,365,29.6,❌,1339
AIOUSDT_2h,2025-08-13,2025-08-15,3,365,0.8,❌,76
AIOUSDT_4h,2025-08-13,2025-08-15,3,365,0.8,❌,105
AIOTUSDT_4h,2025-04-30,2025-08-15,108,365,29.6,❌,670
AIOTUSDT_1d,2025-04-30,2025-08-13,106,365,29.0,❌,109
AIOUSDT_1d,2025-08-13,2025-08-14,2,365,0.5,❌,16
AKTUSDT_5m,2024-11-18,2025-08-15,271,365,74.2,❌,79057
AIXBTUSDT_5m,2024-12-20,2025-08-15,238,365,65.2,❌,69757
AIXBTUSDT_15m,2024-12-20,2025-08-15,238,365,65.2,❌,23253
AKTUSDT_15m,2024-11-18,2025-08-15,271,365,74.2,❌,26353
AIXBTUSDT_30m,2024-12-20,2025-08-15,238,365,65.2,❌,11727
AKTUSDT_30m,2024-11-18,2025-08-15,271,365,74.2,❌,16946
AIXBTUSDT_1h,2024-12-20,2025-08-15,238,365,65.2,❌,6014
AKTUSDT_1h,2024-11-18,2025-08-15,271,365,74.2,❌,8864
AIXBTUSDT_2h,2024-12-20,2025-08-15,238,365,65.2,❌,2908
AKTUSDT_2h,2024-11-18,2025-08-15,271,365,74.2,❌,3296
AIXBTUSDT_4h,2024-12-20,2025-08-15,238,365,65.2,❌,1439
AKTUSDT_4h,2024-11-18,2025-08-15,271,365,74.2,❌,1834
AIXBTUSDT_1d,2024-12-20,2025-08-14,238,365,65.2,❌,261
AKTUSDT_1d,2024-11-18,2025-08-14,270,365,74.0,❌,354
ALCHUSDT_5m,2025-01-07,2025-08-15,221,365,60.5,❌,64654
ALGOUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ALCHUSDT_15m,2025-01-07,2025-08-15,221,365,60.5,❌,21552
ALCHUSDT_30m,2025-01-07,2025-08-15,221,365,60.5,❌,10877
ALCHUSDT_1h,2025-01-07,2025-08-15,221,365,60.5,❌,5589
ALCHUSDT_2h,2025-01-07,2025-08-15,221,365,60.5,❌,2696
ALCHUSDT_4h,2025-01-07,2025-08-15,221,365,60.5,❌,1392
ALCHUSDT_1d,2025-01-07,2025-08-14,220,365,60.3,❌,250
ALICEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ADAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
AEVOUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
AGLDUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ADAUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
AIUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ADAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AEVOUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ADAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AGLDUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ALGOUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ADAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ADAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ALICEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ALLUSDT_5m,2025-08-06,2025-08-15,10,365,2.7,❌,3913
ALLUSDT_15m,2025-08-06,2025-08-15,10,365,2.7,❌,1305
ALLUSDT_30m,2025-08-06,2025-08-15,10,365,2.7,❌,652
ALLUSDT_1h,2025-08-06,2025-08-15,10,365,2.7,❌,327
ALLUSDT_2h,2025-08-06,2025-08-15,10,365,2.7,❌,165
ALLUSDT_4h,2025-08-06,2025-08-15,10,365,2.7,❌,83
ALLUSDT_1d,2025-08-06,2025-08-13,8,365,2.2,❌,11
ALPHAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
AEVOUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AGLDUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AIUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
AEVOUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AGLDUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AGLDUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AEVOUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AGLDUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AEVOUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ALPINEUSDT_5m,2025-05-06,2025-08-15,102,365,27.9,❌,56752
ALTUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ALPINEUSDT_15m,2025-05-06,2025-08-15,102,365,27.9,❌,18385
ALPINEUSDT_30m,2025-05-06,2025-08-15,102,365,27.9,❌,8790
ALPINEUSDT_1h,2025-05-06,2025-08-15,102,365,27.9,❌,4804
ALPINEUSDT_2h,2025-05-06,2025-08-15,102,365,27.9,❌,1269
ALGOUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ALPINEUSDT_4h,2025-05-06,2025-08-15,102,365,27.9,❌,1999
ALPINEUSDT_1d,2025-05-06,2025-08-14,101,365,27.7,❌,365
AIUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ALICEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ANIMEUSDT_5m,2025-01-23,2025-08-15,204,365,55.9,❌,59984
ANIMEUSDT_15m,2025-01-23,2025-08-15,204,365,55.9,❌,19995
ANIMEUSDT_30m,2025-01-23,2025-08-15,204,365,55.9,❌,10098
ANIMEUSDT_1h,2025-01-23,2025-08-15,204,365,55.9,❌,5199
ANIMEUSDT_2h,2025-01-23,2025-08-15,204,365,55.9,❌,2501
ANIMEUSDT_4h,2025-01-23,2025-08-15,204,365,55.9,❌,1236
ANIMEUSDT_1d,2025-01-23,2025-08-14,204,365,55.9,❌,207
AIUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ANKRUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
AIUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ALGOUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AIUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
APEUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ALICEUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ALGOUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ALICEUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ALGOUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ALICEUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ALGOUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
API3USDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ALICEUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
APTUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ALPHAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ALTUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ANKRUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ALPHAUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
APEUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ALTUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ALPHAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
API3USDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
APTUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ALPHAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ALPHAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ALTUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ANKRUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ALPHAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARBUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ALTUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
APEUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ALTUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ALTUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ANKRUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARCUSDT_5m,2025-01-17,2025-08-15,211,365,57.8,❌,61760
ARCUSDT_15m,2025-01-17,2025-08-15,211,365,57.8,❌,20587
ARCUSDT_30m,2025-01-17,2025-08-15,211,365,57.8,❌,10394
ARCUSDT_1h,2025-01-17,2025-08-15,211,365,57.8,❌,5347
ARCUSDT_2h,2025-01-17,2025-08-15,211,365,57.8,❌,2575
ARCUSDT_4h,2025-01-17,2025-08-15,211,365,57.8,❌,1392
APTUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
API3USDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ARCUSDT_1d,2025-01-17,2025-08-14,210,365,57.5,❌,247
ANKRUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ARKMUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
APEUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ANKRUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ANKRUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARKUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
APEUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
APTUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
API3USDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
APEUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
APEUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARPAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
APTUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
API3USDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
API3USDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
APTUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
API3USDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
APTUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ASRUSDT_5m,2025-05-06,2025-08-15,102,365,27.9,❌,56735
ASRUSDT_15m,2025-05-06,2025-08-15,102,365,27.9,❌,18379
ASRUSDT_30m,2025-05-06,2025-08-15,102,365,27.9,❌,8796
ASRUSDT_1h,2025-05-06,2025-08-15,102,365,27.9,❌,4800
ASRUSDT_2h,2025-05-06,2025-08-15,102,365,27.9,❌,1269
ASRUSDT_4h,2025-05-06,2025-08-15,102,365,27.9,❌,2000
ASRUSDT_1d,2025-05-06,2025-08-14,101,365,27.7,❌,365
ASTRUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105720
ARBUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARKMUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARKUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARBUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ARPAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARBUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARKMUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ASTRUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ARBUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ARKUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ARBUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ARBUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARPAUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ATAUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ARKMUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARKUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARKMUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ARUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ARKMUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ARPAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARKMUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARKUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ATHUSDT_5m,2025-04-02,2025-08-15,135,365,37.0,❌,66679
ATHUSDT_15m,2025-04-02,2025-08-15,135,365,37.0,❌,21641
ATHUSDT_30m,2025-04-02,2025-08-15,135,365,37.0,❌,10419
ASTRUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ATHUSDT_1h,2025-04-02,2025-08-15,135,365,37.0,❌,5616
ATHUSDT_2h,2025-04-02,2025-08-15,136,365,37.3,❌,1674
ATHUSDT_4h,2025-04-02,2025-08-15,136,365,37.3,❌,2203
ARKUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ATHUSDT_1d,2025-04-02,2025-08-14,135,365,37.0,❌,365
ATOMUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ARKUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
ARPAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AUCTIONUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105718
ARUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
ARPAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
ARPAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AUSDT_5m,2025-05-28,2025-08-15,80,365,21.9,❌,24093
AUSDT_15m,2025-05-28,2025-08-15,80,365,21.9,❌,8031
ASTRUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AUSDT_30m,2025-05-28,2025-08-15,80,365,21.9,❌,4116
AUSDT_1h,2025-05-28,2025-08-15,80,365,21.9,❌,2208
ARUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
AUSDT_2h,2025-05-28,2025-08-15,80,365,21.9,❌,1005
AUSDT_4h,2025-05-28,2025-08-15,80,365,21.9,❌,777
AUSDT_1d,2025-05-28,2025-08-14,79,365,21.6,❌,82
AVAAIUSDT_5m,2025-01-17,2025-08-15,211,365,57.8,❌,61758
AVAAIUSDT_15m,2025-01-17,2025-08-15,211,365,57.8,❌,20586
ARUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AVAAIUSDT_30m,2025-01-17,2025-08-15,211,365,57.8,❌,10394
AVAAIUSDT_1h,2025-01-17,2025-08-15,211,365,57.8,❌,5347
AVAAIUSDT_2h,2025-01-17,2025-08-15,211,365,57.8,❌,2575
ASTRUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ARUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AVAAIUSDT_4h,2025-01-17,2025-08-15,211,365,57.8,❌,1272
AVAUSDT_5m,2024-12-13,2025-08-15,246,365,67.4,❌,71841
AVAUSDT_15m,2024-12-13,2025-08-15,246,365,67.4,❌,23947
AVAAIUSDT_1d,2025-01-17,2025-08-14,210,365,57.5,❌,213
AVAUSDT_30m,2024-12-13,2025-08-15,246,365,67.4,❌,12074
AVAXUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
AVAUSDT_1h,2024-12-13,2025-08-15,246,365,67.4,❌,6187
AVAUSDT_2h,2024-12-13,2025-08-15,246,365,67.4,❌,2995
AVAUSDT_4h,2024-12-13,2025-08-15,246,365,67.4,❌,1482
ASTRUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AVAUSDT_1d,2024-12-13,2025-08-14,245,365,67.1,❌,248
ASTRUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
AWEUSDT_5m,2025-05-21,2025-08-15,87,365,23.8,❌,26109
AXLUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
AWEUSDT_15m,2025-05-21,2025-08-15,87,365,23.8,❌,8703
AWEUSDT_30m,2025-05-21,2025-08-15,87,365,23.8,❌,4452
AWEUSDT_1h,2025-05-21,2025-08-15,87,365,23.8,❌,2376
AWEUSDT_2h,2025-05-21,2025-08-15,87,365,23.8,❌,1089
AWEUSDT_4h,2025-05-21,2025-08-15,87,365,23.8,❌,819
AWEUSDT_1d,2025-05-21,2025-08-14,86,365,23.6,❌,89
AXSUSDT_5m,2024-08-15,2025-08-15,366,365,100.3,✅,105719
ATAUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ATOMUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
AUCTIONUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ATAUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
AVAXUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ATAUSDT_1h,2024-08-15,2025-08-15,365,365,100.0,✅,8807
AXLUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ATAUSDT_2h,2024-08-15,2025-08-15,365,365,100.0,✅,4403
ATOMUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
AUCTIONUSDT_30m,2024-08-15,2025-08-15,366,365,100.3,✅,17618
ATAUSDT_4h,2024-08-15,2025-08-15,365,365,100.0,✅,2201
AXSUSDT_15m,2024-08-15,2025-08-15,366,365,100.3,✅,35239
ATAUSDT_1d,2024-08-16,2025-08-14,364,365,99.7,✅,367
B2USDT_5m,2025-05-06,2025-08-15,102,365,27.9,❌,30363
B2USDT_15m,2025-05-06,2025-08-15,102,365,27.9,❌,10121
B2USDT_30m,2025-05-06,2025-08-15,102,365,27.9,❌,5161
B2USDT_1h,2025-05-06,2025-08-15,102,365,27.9,❌,2731
B2USDT_2h,2025-05-06,2025-08-15,102,365,27.9,❌,1267
B2USDT_4h,2025-05-06,2025-08-15,102,365,27.9,❌,908
B2USDT_1d,2025-05-06,2025-08-14,101,365,27.7,❌,104
B3USDT_5m,2025-02-13,2025-08-15,184,365,50.4,❌,54004
