[08:43:51] [38;5;220m=== Binance USDT-M 永续 采集·机构级（补齐+实时｜5m..1d） ===[0m
[08:43:51] [INFO] ROOT=D:\quant_system_pro (3)\quant_system_pro
[08:43:51] [INFO] DB  =D:\quant_system_v2\data\market_data.db
[08:46:01] [BF][  2.4%] BDXNUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.4%] BEAMXUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:02] [BF][  2.5%] BELUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.5%] BERAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.5%] BICOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.6%] BIDUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.6%] BIGTIMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.6%] BIOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.6%] BLURUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.7%] BMTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.7%] BNBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.7%] BNTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.8%] BOMEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.8%] BRETTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:02] [BF][  2.8%] BROCCOLI714USDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:03] [BF][  2.9%] BROCCOLIF3BUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:03] [BF][  2.9%] BRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  2.9%] BSVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  2.9%] BSWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.0%] BTCDOMUSDT 5m fetched=205 kept=204 inserted=204 skipped=0 gaps=0
[08:46:03] [BF][  3.0%] BTCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.0%] BULLAUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.1%] BUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.1%] C98USDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.1%] CAKEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.2%] CARVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.2%] CATIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.2%] CELOUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.3%] CELRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.3%] CETUSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.3%] CFXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.3%] CGPTUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.4%] CHESSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.4%] CHILLGUYUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.4%] CHRUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.5%] CHZUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.5%] CKBUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.5%] COMPUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.6%] COOKIEUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.6%] COSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.6%] COTIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:03] [BF][  3.6%] COWUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.7%] CROSSUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.7%] CRVUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.7%] CTKUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.8%] CTSIUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.8%] CUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.8%] CVCUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.9%] CVXUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
[08:46:13] [BF][  3.9%] CYBERUSDT 5m fetched=0 kept=0 inserted=0 skipped=0 gaps=0
