symbol,tf,rows,last_ts,stale_min,gaps,status
AGTUSDT,5m,25965,1755315300000,2.1,0,OK
AGTUSDT,15m,8656,1755315000000,7.1,0,OK
AGTUSDT,30m,4329,1755315000000,7.1,1,GAPS
AGTUSDT,1h,2166,1755313200000,37.1,1,STALE
AGTUSDT,2h,1084,1755309600000,97.1,1,STALE
AGTUSDT,4h,543,1755302400000,217.1,1,STALE
AGTUSDT,1d,89,1755302400000,217.1,0,STALE
AI16ZUSDT,5m,65670,1755315300000,2.1,0,OK
AI16ZUSDT,15m,21891,1755315000000,7.1,0,OK
AI16ZUSDT,30m,10947,1755315000000,7.1,1,GAPS
AI16ZUSDT,1h,5475,1755313200000,37.1,1,STALE
AI16ZUSDT,2h,2739,1755309600000,97.1,1,STALE
AI16ZUSDT,4h,1354,1755302400000,217.1,0,STALE
AI16ZUSDT,1d,227,1755302400000,217.1,0,STALE
AINUSDT,5m,11274,1755315300000,2.1,0,OK
AINUSDT,15m,3759,1755315000000,7.1,0,OK
AINUSDT,30m,1881,1755315000000,7.1,1,GAPS
AINUSDT,1h,942,1755313200000,37.1,1,STALE
AINUSDT,2h,472,1755309600000,97.1,1,STALE
AINUSDT,4h,237,1755302400000,217.1,1,STALE
AINUSDT,1d,38,1755302400000,217.1,0,STALE
AIOTUSDT,5m,31701,1755315300000,2.1,0,OK
AIOTUSDT,15m,10569,1755315000000,7.2,0,OK
AIOTUSDT,30m,5285,1755315000000,7.2,1,GAPS
AIOTUSDT,1h,2644,1755313200000,37.2,1,STALE
AIOTUSDT,2h,1323,1755309600000,97.2,1,STALE
AIOTUSDT,4h,662,1755302400000,217.2,1,STALE
AIOTUSDT,1d,109,1755302400000,217.2,0,STALE
AIOUSDT,5m,1380,1755315300000,2.2,0,OK
AIOUSDT,15m,461,1755315000000,7.2,0,OK
AIOUSDT,30m,231,1755315000000,7.2,1,GAPS
AIOUSDT,1h,117,1755313200000,37.2,1,STALE
AIOUSDT,2h,60,1755309600000,97.2,1,STALE
AIOUSDT,4h,31,1755302400000,217.2,1,STALE
AIOUSDT,1d,4,1755302400000,217.2,0,STALE
AIUSDT,5m,105321,1755315300000,2.2,0,OK
AIUSDT,15m,35107,1755315000000,7.2,0,OK
AIUSDT,30m,17553,1755315000000,7.2,0,OK
AIUSDT,1h,8775,1755313200000,37.2,0,STALE
AIUSDT,2h,4387,1755309600000,97.2,0,STALE
AIUSDT,4h,2193,1755302400000,217.2,0,STALE
AIUSDT,1d,366,1755302400000,217.2,0,STALE
AIXBTUSDT,5m,69358,1755315300000,2.2,0,OK
AIXBTUSDT,15m,23121,1755315000000,7.2,0,OK
AIXBTUSDT,30m,11561,1755315000000,7.2,1,GAPS
AIXBTUSDT,1h,5782,1755313200000,37.2,1,STALE
AIXBTUSDT,2h,2892,1755309600000,97.2,1,STALE
AIXBTUSDT,4h,1431,1755302400000,217.2,0,STALE
AIXBTUSDT,1d,240,1755302400000,217.2,0,STALE
AKTUSDT,5m,78658,1755315300000,2.2,0,OK
AKTUSDT,15m,26221,1755315000000,7.2,0,OK
AKTUSDT,30m,13111,1755315000000,7.2,1,GAPS
AKTUSDT,1h,6557,1755313200000,37.2,1,STALE
AKTUSDT,2h,3280,1755309600000,97.2,1,STALE
AKTUSDT,4h,1625,1755302400000,217.2,0,STALE
AKTUSDT,1d,272,1755302400000,217.2,0,STALE
ALCHUSDT,5m,64255,1755315300000,2.2,0,OK
ALCHUSDT,15m,21420,1755315000000,7.2,0,OK
ALCHUSDT,30m,10711,1755315000000,7.2,1,GAPS
ALCHUSDT,1h,5357,1755313200000,37.2,1,STALE
ALCHUSDT,2h,2680,1755309600000,97.2,1,STALE
ALCHUSDT,4h,1325,1755302400000,217.2,0,STALE
ALCHUSDT,1d,222,1755302400000,217.2,0,STALE
ALGOUSDT,5m,105320,1755315300000,2.2,0,OK
ALGOUSDT,15m,35107,1755315000000,7.2,0,OK
ALGOUSDT,30m,17553,1755315000000,7.2,0,OK
ALGOUSDT,1h,8775,1755313200000,37.2,0,STALE
ALGOUSDT,2h,4387,1755309600000,97.2,0,STALE
ALGOUSDT,4h,2193,1755302400000,217.2,0,STALE
ALGOUSDT,1d,366,1755302400000,217.2,0,STALE
ALICEUSDT,5m,105320,1755315300000,2.2,0,OK
ALICEUSDT,15m,35107,1755315000000,7.3,0,OK
ALICEUSDT,30m,17553,1755315000000,7.3,0,OK
ALICEUSDT,1h,8775,1755313200000,37.3,0,STALE
ALICEUSDT,2h,4387,1755309600000,97.3,0,STALE
ALICEUSDT,4h,2193,1755302400000,217.3,0,STALE
ALICEUSDT,1d,366,1755302400000,217.3,0,STALE
ALLUSDT,5m,3514,1755315300000,2.3,0,OK
ALLUSDT,15m,1173,1755315000000,7.3,0,OK
ALLUSDT,30m,587,1755315000000,7.3,1,GAPS
ALLUSDT,1h,295,1755313200000,37.3,1,STALE
ALLUSDT,2h,149,1755309600000,97.3,1,STALE
ALLUSDT,4h,75,1755302400000,217.3,1,STALE
ALLUSDT,1d,11,1755302400000,217.3,0,STALE
ALPHAUSDT,5m,105320,1755315300000,2.3,0,OK
ALPHAUSDT,15m,35107,1755315000000,7.3,0,OK
ALPHAUSDT,30m,17553,1755315000000,7.3,0,OK
ALPHAUSDT,1h,8775,1755313200000,37.3,0,STALE
ALPHAUSDT,2h,4387,1755309600000,97.3,0,STALE
ALPHAUSDT,4h,2193,1755302400000,217.3,0,STALE
ALPHAUSDT,1d,366,1755302400000,217.3,0,STALE
ALPINEUSDT,5m,30008,1755315300000,2.3,0,OK
ALPINEUSDT,15m,10004,1755315000000,7.3,0,OK
ALPINEUSDT,30m,5003,1755315000000,7.3,1,GAPS
ALPINEUSDT,1h,2503,1755313200000,37.3,1,STALE
ALPINEUSDT,2h,1253,1755309600000,97.3,1,STALE
ALPINEUSDT,4h,627,1755302400000,217.3,1,STALE
ALPINEUSDT,1d,103,1755302400000,217.3,0,STALE
